pubmed,ALL,All terms from all searchable fields
pubmed,UID,Unique number assigned to publication
pubmed,FILT,Limits the records
pubmed,TITL,Words in title of publication
pubmed,MESH,Medical Subject Headings assigned to publication
pubmed,MAJR,MeSH terms of major importance to publication
pubmed,JOUR,Journal abbreviation of publication
pubmed,AFFL,Author's institutional affiliation and address
pubmed,ECNO,EC number for enzyme or CAS registry number
pubmed,SUBS,CAS chemical name or MEDLINE Substance Name
pubmed,PDAT,Date of publication
pubmed,EDAT,Date publication first accessible through Entrez
pubmed,VOL,Volume number of publication
pubmed,PAGE,Page number(s) of publication
pubmed,PTYP,Type of publication (e.g., review)
pubmed,LANG,Language of publication
pubmed,ISS,Issue number of publication
pubmed,SUBH,Additional specificity for MeSH term
pubmed,SI,Cross-reference from publication to other databases
pubmed,MHDA,Date publication was indexed with MeSH terms
pubmed,TIAB,Free text associated with Abstract/Title
pubmed,OTRM,Other terms associated with publication
pubmed,COLN,Corporate Author of publication
pubmed,CNTY,Country of publication
pubmed,PAPX,MeSH pharmacological action pre-explosions
pubmed,GRNT,NIH Grant Numbers
pubmed,MDAT,Date of last modification
pubmed,CDAT,Date of completion
pubmed,PID,Publisher ID
pubmed,FAUT,First Author of publication
pubmed,FULL,Full Author Name(s) of publication
pubmed,FINV,Full name of investigator
pubmed,TT,Words in transliterated title of publication
pubmed,LAUT,Last Author of publication
pubmed,PPDT,Date of print publication
pubmed,EPDT,Date of Electronic publication
pubmed,LID,ELocation ID
pubmed,CRDT,Date publication first accessible through Entrez
pubmed,BOOK,ID of the book that contains the document
pubmed,ED,Section's Editor
pubmed,ISBN,ISBN
pubmed,PUBN,Publisher's name
pubmed,AUCL,Author Cluster ID
pubmed,EID,Extended PMID
pubmed,DSO,Additional text from the summary
pubmed,AUID,Author Identifier
pubmed,PS,Personal Name as Subject
pubmed,COIS,Conflict of Interest Statements
pubmed,WORD,Free text associated with publication
pubmed,P1DAT,Date publication first accessible through Solr
protein,ALL,All terms from all searchable fields
protein,UID,Unique number assigned to each sequence
protein,FILT,Limits the records
protein,WORD,Free text associated with record
protein,TITL,Words in definition line
protein,KYWD,Nonstandardized terms provided by submitter
protein,AUTH,Author(s) of publication
protein,JOUR,Journal abbreviation of publication
protein,VOL,Volume number of publication
protein,ISS,Issue number of publication
protein,PAGE,Page number(s) of publication
protein,ORGN,Scientific and common names of organism, and all higher levels of taxonomy
protein,ACCN,Accession number of sequence
protein,PACC,Does not include retired secondary accessions
protein,GENE,Name of gene associated with sequence
protein,PROT,Name of protein associated with sequence
protein,ECNO,EC number for enzyme or CAS registry number
protein,PDAT,Date sequence added to GenBank
protein,MDAT,Date of last update
protein,SUBS,CAS chemical name or MEDLINE Substance Name
protein,PROP,Classification by source qualifiers and molecule type
protein,SQID,String identifier for sequence
protein,GPRJ,BioProject
protein,SLEN,Length of sequence
protein,MLWT,Molecular Weight
protein,FKEY,Feature annotated on sequence
protein,PORG,Scientific and common names of primary organism, and all higher levels of taxonomy
protein,ASSM,Assembly
protein,DIV,Division
protein,STRN,Strain
protein,ISOL,Isolate
protein,CULT,Cultivar
protein,BRD,Breed
nuccore,ALL,All terms from all searchable fields
nuccore,UID,Unique number assigned to each sequence
nuccore,FILT,Limits the records
nuccore,WORD,Free text associated with record
nuccore,TITL,Words in definition line
nuccore,KYWD,Nonstandardized terms provided by submitter
nuccore,AUTH,Author(s) of publication
nuccore,JOUR,Journal abbreviation of publication
nuccore,VOL,Volume number of publication
nuccore,ISS,Issue number of publication
nuccore,PAGE,Page number(s) of publication
nuccore,ORGN,Scientific and common names of organism, and all higher levels of taxonomy
nuccore,ACCN,Accession number of sequence
nuccore,PACC,Does not include retired secondary accessions
nuccore,GENE,Name of gene associated with sequence
nuccore,PROT,Name of protein associated with sequence
nuccore,ECNO,EC number for enzyme or CAS registry number
nuccore,PDAT,Date sequence added to GenBank
nuccore,MDAT,Date of last update
nuccore,SUBS,CAS chemical name or MEDLINE Substance Name
nuccore,PROP,Classification by source qualifiers and molecule type
nuccore,SQID,String identifier for sequence
nuccore,GPRJ,BioProject
nuccore,SLEN,Length of sequence
nuccore,FKEY,Feature annotated on sequence
nuccore,PORG,Scientific and common names of primary organism, and all higher levels of taxonomy
nuccore,COMP,Component accessions for an assembly
nuccore,ASSM,Assembly
nuccore,DIV,Division
nuccore,STRN,Strain
nuccore,ISOL,Isolate
nuccore,CULT,Cultivar
nuccore,BRD,Breed
nuccore,BIOS,BioSample
ipg,ALL,All terms from all searchable fields
ipg,UID,Unique number assigned to each sequence
ipg,FILT,Limits the records
ipg,WORD,Free text associated with record
ipg,TITL,Words in definition line
ipg,ORGN,Scientific and common names of organism, and all higher levels of taxonomy
ipg,ACCN,Accession number of sequence (both protein and nucleotide)
ipg,PACC,Primary Accession
ipg,PROT,Name of protein associated with sequence
ipg,SLEN,Length of sequence
ipg,ProtCount,Protein count in this group
ipg,GPRJ,BioProject
ipg,PROP,Classification by source qualifiers and molecule type
ipg,DIV,Division
ipg,MDAT,Date of last update
ipg,MLWT,Molecular Weight
ipg,CDAT,Date IPG created
ipg,UDAT,Date IPG last updated
ipg,OCNT,Count of distinct organisms in this group
ipg,ASSM,Assembly
nucleotide,ALL,All terms from all searchable fields
nucleotide,UID,Unique number assigned to each sequence
nucleotide,FILT,Limits the records
nucleotide,WORD,Free text associated with record
nucleotide,TITL,Words in definition line
nucleotide,KYWD,Nonstandardized terms provided by submitter
nucleotide,AUTH,Author(s) of publication
nucleotide,JOUR,Journal abbreviation of publication
nucleotide,VOL,Volume number of publication
nucleotide,ISS,Issue number of publication
nucleotide,PAGE,Page number(s) of publication
nucleotide,ORGN,Scientific and common names of organism, and all higher levels of taxonomy
nucleotide,ACCN,Accession number of sequence
nucleotide,PACC,Does not include retired secondary accessions
nucleotide,GENE,Name of gene associated with sequence
nucleotide,PROT,Name of protein associated with sequence
nucleotide,ECNO,EC number for enzyme or CAS registry number
nucleotide,PDAT,Date sequence added to GenBank
nucleotide,MDAT,Date of last update
nucleotide,SUBS,CAS chemical name or MEDLINE Substance Name
nucleotide,PROP,Classification by source qualifiers and molecule type
nucleotide,SQID,String identifier for sequence
nucleotide,GPRJ,BioProject
nucleotide,SLEN,Length of sequence
nucleotide,FKEY,Feature annotated on sequence
nucleotide,PORG,Scientific and common names of primary organism, and all higher levels of taxonomy
nucleotide,COMP,Component accessions for an assembly
nucleotide,ASSM,Assembly
nucleotide,DIV,Division
nucleotide,STRN,Strain
nucleotide,ISOL,Isolate
nucleotide,CULT,Cultivar
nucleotide,BRD,Breed
nucleotide,BIOS,BioSample
structure,ALL,All terms from all searchable fields
structure,UID,mmdbId
structure,FILT,Limits the records
structure,ACCN,PDB Accession
structure,ECNO,EC/RN Number
structure,RESO,Resolution
structure,EXPM,Experimental Method
structure,TITL,Citation Title
structure,ABS,The abstracts of all PubMed references that are linked to the structure
structure,AUTH,Citation Author
structure,PCLA,Pdb Class
structure,PSRC,Pdb Source
structure,PDSC,PdbDescr
structure,PCOM,PdbComment
structure,PDD,PDB Deposit Date
structure,DDAT,MMDB Deposit Date
structure,MDAT,MMDB Modify Date
structure,LCOD,chemical ligand codes taken from PDB file
structure,LNAM,chemical ligand names taken from PDB file
structure,CSYN,Chemical synonyms taken from PubChem
structure,LDES,Chemical description taken from PDB
structure,ORGN,Organism Name
structure,TXID,Numerical taxonomy identifier
structure,PMC,Count of Protein Molecules in BioUnit
structure,DMC,Count of DNA molecules in BioUnit
structure,RMC,Count of RNA molecules in BioUnit
structure,BPC,Count of Biopolymers in BioUnit
structure,LCOU,Count of Chemical Molecules in BioUnit
structure,OCOU,Count of Other Molecules in BioUnit
structure,JOUR,Source journal of structure
structure,CDID,identifier for a conserved domain cluster
structure,CDSN,Short name of the domain of a conserved domain cluster
structure,CDDT,Title of the domain of a conserved domain cluster
structure,CDDF,Defline of the domain of a conserved domain cluster
structure,SFID,identifier for a superfamily domain cluster
structure,SPFN,Short name of a superfamily of conserved domain clusters
structure,SPTL,Title of a superfamily of conserved domain clusters
structure,SPDF,Definition line of a superfamily cluster of conserved domain
structure,OS,Oligomeric state of the biological unit
structure,PNAM,Names of Protein Molecules
structure,GN,Names of genes associated with protein molecules
structure,GDSC,Descriptions of genes associated with protein molecules
structure,DNAM,Names of DNA Molecules
structure,RNAM,Names of RNA Molecules
structure,ONAM,Names of Other Molecules
structure,APMC,Count of Protein Molecules in ASU
structure,ADMC,Count of DNA molecules in ASU
structure,ARMC,Count of RNA molecules in ASU
structure,ABPC,Count of Biopolymers in ASU
structure,ALCT,Count of Chemicals in ASU
structure,AOCT,Count of other molecules in ASU
structure,MLWT,Molecular Weight of the default Biological Assembly
structure,FC,Number of PDB records that have been combined to define a complete biological assembly. (For most structures, one record suffices; very large structures were split by the PDB into multiple records.)
genome,ALL,All terms from all searchable fields
genome,UID,Unique number assigned to genome
genome,FILT,Limits the records
genome,ORGN,Organism
genome,PID,Project ID
genome,PRJA,Project Accession
genome,PRJT,Project Type
genome,DFLN,Genome short description
genome,DSCR,Genome full description
genome,STAT,Bioproject status
genome,AID,Release ID of full assembly
genome,AACC,Accession of full assembly
genome,ANAM,Name of full assembly
genome,GI,Replicon GI
genome,ACCN,Replicon Accession
genome,RNAM,Replicon Name
genome,PACC,Protein Accession
genome,PROT,Protein Name
genome,PGI,protein GI
genome,GNID,GeneID
genome,GENE,Gene Name
genome,LTAG,Locus Tag
genome,WGSP,WGS Prefix
genome,PMID,Unique identifier from PubMed
genome,BIOP,Biological Properties
genome,PCID,Protein Clusters ID
genome,PROP,Project/Organism Properties
genome,CDT,Create Date
genome,STRN,Organism Strain
genome,HOST,Organism Host
annotinfo,ALL,All terms from all searchable fields
annotinfo,UID,Unique number assigned to genome
annotinfo,FILT,Limits the records
annotinfo,ORGN,Organism
annotinfo,ANOT,Annotation Release ID
annotinfo,ARID,Accession of Annotation target set
annotinfo,ASAC,Accessions of annotated assemblies
annotinfo,FREZ,Freeze Date
annotinfo,ENDT,Sequence Release Date
annotinfo,MILE,Completed Milestones in annotation pipeline
annotinfo,STUS,Build Status
annotinfo,ASTS,Annotation Status
annotinfo,AVER,Annotation Version
annotinfo,ANAM,Annot Name
assembly,ALL,All terms from all searchable fields
assembly,UID,Unique number assigned to publication
assembly,FILT,Limits the records
assembly,ACCN,Chromosome accessions
assembly,ASAC,Space delimited assembly accessions w/ & w/o versions
assembly,ASLV,How assembled is this assembly. 'Contig' to 'Chromosome'
assembly,TXID,Taxonomy ID
assembly,ORGN,Exploded organism names
assembly,RUID,Id of RefSeq Assembly.
assembly,GUID,Id of GenBank synonym of this Assembly.
assembly,UIDS,Pair-id, GB-id, and RS-id of this Assembly.
assembly,PROJ,Uid and accessions of this assembly's projects
assembly,SAMP,BioSample Accession and Id
assembly,NAME,Assembly name
assembly,ALLN,All names, space separated
assembly,DESC,Assembly description
assembly,COV,Sequencing coverage
assembly,TYPE,Type of the assembly
assembly,SRDT,Date the most recent sequence went live in ID
assembly,UPDT,Date the assembly was last updated
assembly,LEN,Total length of chromosome/genome including bases and gaps divided by 1,000,000.
assembly,REPL,Number of chromosomes in assembly
assembly,PLAC,Number of placed scaffolds
assembly,UNLO,Number of unordered(unlocalized) scaffolds belonging to chromosomes
assembly,UNPL,Number of unplaced scaffolds which do not belong to any chromosome, ie ChrUn
assembly,CN50,Contig length at which 50% of total bases in assembly are in contigs of that length or greater
assembly,SN50,Scaffold length at which 50% of total bases in assembly are in contigs of that length or greater
assembly,CL50,Number of contigs that are greater than or equal to the N50 length.
assembly,SL50,Number of scaffolds that are greater than or equal to the N50 length.
assembly,CNTG,Number of contigs
assembly,UNGL,Total length excluding gaps in chromosome/genome divided by 1,000,000
assembly,PROP,Properties
assembly,SUBO,Organization that submitted this assembly
